# IGP24 class field sweep: deg6.
119557404,419239500,716932097,772958153,563373589,274883632,84961759,20618602,15338905,15260870,8684148,2281420,-268235,-430618,-117024,26656,32390,11019,374,-1172,-440,-34,24,8,1 # cft deg6 r=0
333500560,1342519648,1963771784,667307400,-1513355079,-2086874056,-681404475,600203949,594220950,91474469,-68698111,-9567098,8181398,-2214508,-1765745,472171,230613,-56177,-19876,4641,1290,-214,-54,4,1 # cft deg6 r=0
1319692,-5743296,14201612,-22535244,25846603,-22152218,15504053,-9619596,5734632,-3057404,1451412,-706990,477094,-314544,131752,-32024,14291,-10822,4571,-1322,452,-126,20,-4,1 # cft deg6 r=0
6947,-93736,514203,-1426214,6734100,-10169796,10512668,-12024878,8695703,-2746308,562264,147088,-349115,-79888,307674,-194462,72393,-18250,1212,1844,-869,140,14,-8,1 # cft deg6 r=0
7744,0,89803,0,290938,0,3114915,0,5379568,0,4247162,0,1935567,0,559694,0,106853,0,13533,0,1102,0,52,0,1 # cft deg6 r=0
57600,-322560,-1018656,-369888,1134697,1921594,902432,-608810,-631964,331061,634458,11912,-407342,-155227,119004,73203,-28974,-28927,-273,5637,1736,-6,-69,-4,1 # cft deg6 r=8
6268,42584,157348,474588,1802211,6077844,12875127,17532166,16904329,12911036,7743644,2790026,332167,-337358,-416481,-196216,-14950,-14610,14177,-216,994,-156,10,-8,1 # cft deg6 r=4
3776879,-18050424,39273420,-53038656,40794548,-7091718,-19058151,17076902,545327,-8718198,5681157,-897122,-1009202,757052,-99475,-142056,93247,-22114,-1358,2722,-742,50,17,-6,1 # cft deg6 r=4
2875,35295,176367,521460,981894,1126726,434117,-1123034,-2629875,-2784388,-1385676,261663,918210,636658,156949,-75049,-78285,-22782,3032,3534,506,-157,-43,2,1 # cft deg6 r=8
245625,-2387130,10106099,-26056138,48787668,-72103913,88874287,-94326227,87988707,-72877320,53826229,-35556907,20966121,-10929505,4926193,-1851412,551302,-117458,12473,2246,-1270,274,-16,-4,1 # cft deg6 r=0
72523375,-145574766,255255986,-480808574,782499876,-1008365066,1036597587,-860345248,582431962,-320754868,140844049,-46274616,9081790,657072,-1332666,536350,-93026,-12838,12448,-3088,83,154,-30,-2,1 # cft deg6 r=0
39296125,34668445,44975609,-6164346,-18192804,-12827882,890168,6830468,1825295,-2759363,23408,491380,-106238,-58284,22506,9346,646,-1541,-312,354,100,-8,8,6,1 # cft deg6 r=0
-2855225,-11410385,-16400144,45231142,98955429,-21787417,-129275936,-35917386,44179878,13035602,-5003560,8926771,10500004,2191014,-836550,10841,215439,6522,-18905,797,1249,-101,-57,2,1 # cft deg6 r=8
-166240,705440,-39892,1054372,437547,531816,1137161,-610779,407389,852360,-272445,105562,266820,-76101,-20602,57744,11171,-11212,-3831,803,439,-4,-20,-4,1 # cft deg6 r=4
