# IGP24 batch: one polynomial per distinct (group fingerprint, signature) cluster.
5703,0,0,16006,0,0,19390,0,0,13260,0,0,5611,0,0,1508,0,0,252,0,0,24,0,0,1 # tower_2x4x3 r=0
9447455432,0,14801313648,0,10893780004,0,4972080648,0,1565628011,0,358065216,0,60965456,0,7785504,0,740214,0,51120,0,2436,0,72,0,1 # tower_3x2x2x2 r=0
209,2610,14364,44274,78309,62748,-33936,-129780,-98145,36560,105564,41688,-38983,-38700,1512,14676,3654,-3024,-1400,336,252,-16,-24,0,1 # tower_2x4x3 r=0
151713,-425334,572324,-258965,-313652,611128,-350455,-116508,316840,-169302,-41080,101584,-41561,-14420,20528,-4830,-3344,2352,-76,-392,112,28,-16,0,1 # tower_2x2x2x3 r=0
17416261785119,48679010063775,78759223829328,90506586023577,81561139603938,60384712077828,37879690696432,20517601077828,9728157975036,4074131013795,1516985175684,504209210706,149963841128,39936282084,9515541804,2023295796,382326495,63774594,9304451,1170936,124686,10890,744,36,1 # tower_2x3x2x2 r=0
613,-3976,10097,-16616,28280,-40448,42845,-50592,50941,-38144,38412,-25952,16194,-13760,6116,-3648,2494,-672,460,-224,28,-32,8,0,1 # tower_4x2x3 r=0
537291,4280720,17791520,50366680,108001030,185515776,264100184,318611192,330731095,298547720,236075204,164309680,100932636,54769256,26229724,11056496,4082463,1310760,362076,84744,16434,2552,300,24,1 # tower_2x6x2 r=0
3,0,3,0,-23,0,-43,0,25,0,132,0,199,0,192,0,129,0,65,0,24,0,6,0,1 # tower_3x2x4 r=0
39,28,-52,-16,16,0,14,-52,-24,32,0,0,-13,-12,24,0,0,0,-2,8,0,0,0,0,1 # tower_2x2x6 r=4
10485555190,-18874183680,34366825728,-38654293440,41049698958,-33807252516,26072231662,-16829036580,10179486489,-5328926320,2619088212,-1131009516,459158831,-164484600,55422246,-16399972,4563540,-1097748,248246,-46872,8337,-1144,150,-12,1 # tower_2x2x3x2 r=0
